country,year,en_per_cap,prot_area_perc,gdp,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
AZE,1995,1660.95237475602,6.7530310527,3052467522.36104,81.7,1.15169437426819,7685000.0,0.578626976048963,4011570.0
AZE,1996,1518.2030142986,6.75303071932,3176749593.11788,78.7,1.00984797957055,7763000.0,0.625970412581841,4036760.0
AZE,1997,1437.55192651187,6.75303051327,3962710163.11167,75.7,0.961484174713846,7838000.0,0.576127303790652,4060084.0
AZE,1998,1505.19423733097,6.75303041603,4446396217.63265,72.7,0.952327624863702,7913000.0,0.565480007169618,4083108.0
AZE,1999,1386.12075660779,6.75303041603,4581222442.45783,70.3,0.880730348080837,7983000.0,0.492380401020797,4103262.0
AZE,2000,1420.70678752834,6.75303041603,5272617196.04517,67.4,0.817577951157989,8048534.78590979,0.427713961186646,4120849.81038581
AZE,2001,1404.83886253062,6.75303041603,5707618246.56848,65.0,0.774883014438153,8111143.77877744,0.892001952384513,4157772.30100132
AZE,2002,1402.184676934,6.75303041603,6236024951.20423,62.6,0.7461678830025,8171892.8957739,0.863149811241528,4193815.43411117
AZE,2003,1456.26823843472,6.80236886245,7275766111.24309,60.4,0.757613291371949,8234039.36412743,0.874458532612365,4230649.42528867
AZE,2004,1522.37001673271,7.10299542336,8680511918.49357,58.0,0.874957316098748,8306399.79834826,0.991666196076754,4272812.05627034
AZE,2005,1652.88619315169,7.14790537617,13245421880.834,55.6,1.02347190379433,8391850.0,1.140044677827,4321802.75
AZE,2006,1592.93150491187,7.14790537617,20982270733.2484,53.7,1.09858657441812,8484550.0,1.37006240529326,4381421.62
AZE,2007,1417.76956871337,7.14790537617,33049380917.6985,51.5,1.13385546615645,8581300.0,1.40459630065141,4443397.14
AZE,2008,1522.13239153753,7.14790537617,46258154819.8637,49.8,2.09985403259251,8763400.0,2.36986383983682,4549957.28
BEL,1991,5055.8933479934,0.587442020966,207672604016.539,9.6,0.37152239228794,10004500.0,0.454475551970901,9652341.6
BEL,1992,5093.0268790443,0.588429712175,231616006775.408,9.1,0.404000623753711,10045000.0,0.486885030288806,9699452.0
BEL,1993,4954.27864544598,0.590217070471,221691791044.776,8.6,0.392459308049947,10084500.0,0.475275072539508,9745660.8
BEL,1994,5225.41312428328,0.591039731701,241582269471.907,8.1,0.307919491587905,10115600.0,0.390666723022827,9783808.32
BEL,1995,5304.05759213953,0.591250463815,284142036124.795,7.6,0.209357966518317,10136800.0,0.292036777329555,9812422.4
BEL,1996,5586.58915033967,0.592257074603,275433224755.7,7.1,0.199075632917332,10157000.0,0.261039914735428,9838070.2
BEL,1997,5579.64502504666,0.606282638765,249438430311.231,6.7,0.236011501875618,10181000.0,0.297937414093639,9867425.2
BEL,1998,5659.69665784573,0.650432500622,255267837297.177,6.4,0.215855643189069,10203000.0,0.277743229699082,9894869.4
BEL,1999,5689.20506551926,0.659296105069,254175367568.719,6.1,0.225170182254253,10226000.0,0.287019492322778,9923310.4
BEL,2000,5707.01648458837,0.822206941681,232371475953.566,5.8,0.253931168377049,10252000.0,0.315742250550169,9954692.0
BEL,2001,5673.66569456596,0.866198407517,232154809843.4,5.6,0.340815343199198,10287000.0,0.382001526738793,9992791.8
BEL,2002,5454.6165682764,0.871046456916,252452475061.171,5.4,0.446169480176351,10333000.0,0.487338714348309,10041609.4
BEL,2003,5709.10357452049,0.873678625166,311191873589.165,5.2,0.416051330674451,10376133.0,0.457713038096141,10087676.5026
BEL,2004,5650.96534092201,0.878830936878,361109559019.823,5.1,0.433140357618385,10421137.0,0.473923583962221,10135597.8462
BEL,2005,5600.42789997955,0.885070824,376616674128.24,5.0,0.552046104703533,10478617.0,0.591174129720982,10195694.341
BEL,2006,5509.34389386078,0.885070824,399113833060.901,4.8,0.659558214980699,10547958.0,0.680111087316922,10265272.7256
BEL,2007,5366.71814562805,0.885070824,458619726868.846,4.7,0.734330830765919,10625700.0,0.754879479764571,10343056.38
BEL,2008,5469.58157597596,0.885070824,505373713699.784,4.6,0.789976845480149,10709973.0,0.810521272876498,10427229.7128
BEN,1991,341.84022665232,23.8063932828,1877810375.13616,173.9,3.31618832510229,4934077.0,4.64071100010436,1724953.3192
BEN,1992,338.327458946995,23.806258706,1624296266.50694,170.2,3.47078954338044,5108335.0,4.77799770011571,1809372.257
BEN,1993,334.353325790341,23.8061241293,2106272067.68824,166.7,3.50509589942006,5290562.0,4.79543638301083,1898253.6456
BEN,1994,330.220965110647,23.8059895526,1496845630.25929,163.0,3.39420821501037,5473217.0,4.66811079275335,1988967.0578
BEN,1995,326.841959880314,23.8058549845,2009226253.79815,159.8,3.19909111097831,5651141.0,4.45696933166429,2079619.888
BEN,1996,369.425032871091,23.8057204078,2208067090.28089,156.3,2.97837972134239,5821985.0,3.79029216519282,2159956.435
BEN,1997,372.652695941763,23.8055858397,2156753028.13332,153.1,2.8131728613003,5988093.0,3.61854634200997,2239546.782
BEN,1998,357.644099443873,23.805451263,2334564287.16502,149.7,2.74443199073587,6154708.0,3.54337099408378,2320324.916
BEN,1999,362.777898202,23.805451263,2387363924.05615,146.6,2.80001349125958,6329476.0,3.59262001850163,2405200.88
BEN,2000,304.192665941474,23.805451263,2254838684.51335,143.4,2.93209776256177,6517810.0,3.71847140858319,2496321.23
BEN,2001,313.709311108787,23.805451263,2371785987.12212,140.3,3.07486631343347,6721337.0,3.95867762920517,2597124.6168
BEN,2002,327.52996727436,23.805451263,2807357350.89456,137.4,3.17242934600717,6937985.0,4.04849781951692,2704426.553
BEN,2003,334.662949324603,23.805451263,3557983482.4501,134.4,3.21933251194564,7164976.0,4.08779263190076,2817268.5632
BEN,2004,336.787787485376,23.805451263,4047438048.56774,131.5,3.2002954174851,7397985.0,4.06127819875351,2934040.851
BEN,2005,327.524834756988,23.805451263,4287463884.06501,128.6,3.13724567021148,7633757.0,3.99087877244012,3053502.8
BEN,2006,374.768268178681,23.805451263,4734839067.49029,125.9,3.06948159934949,7871707.0,4.06451468466629,3180169.628
BEN,2007,395.343376262993,23.805451263,5546177809.02921,123.2,3.01401419200944,8112573.0,3.99924383631061,3309929.784
BEN,2008,392.489450668862,23.805451263,6682744914.13769,120.8,2.95623697528565,8355980.0,3.93185446982212,3442663.76
BGD,1991,116.511475882494,1.5379218511,30957444767.4221,137.9,2.35919934068732,107768749.0,4.26020706318464,21747733.5482
BGD,1992,120.235439050409,1.53794804362,31708863729.9733,132.1,2.25410478995121,110225555.0,4.11964735610133,22662374.108
BGD,1993,124.190375715098,1.53797419188,33166530060.0412,125.6,2.17165978596285,112645460.0,4.0030362715055,23587959.324
BGD,1994,126.988771805495,1.53800029733,33768661426.807,119.5,2.11998064012738,115059015.0,3.9184200256527,24530581.998
BGD,1995,135.307621224185,1.53802635923,37939752959.8665,113.9,2.08821099619584,117486952.0,3.85487712107284,25494668.584
BGD,1996,133.336185584029,1.60036178336,40666015641.0564,107.3,2.05699688296749,119928682.0,3.79299296921555,26480252.9856
BGD,1997,136.512118865867,1.60039366504,42318798537.7145,101.5,2.01552858437685,122370403.0,3.72190137451712,27484392.5138
BGD,1998,139.454308402344,1.60042550603,44091754148.1823,96.3,1.96867712533918,124803351.0,3.64642067309043,28505085.3684
BGD,1999,138.703612418932,1.60042550603,45694072379.3677,91.2,1.91380120919952,127214841.0,3.56386035739311,29539286.0802
BGD,2000,143.550832794625,1.60042550603,47124925462.1348,85.7,1.85158570317757,129592275.0,3.47485927935945,30583776.9
BGD,2001,153.217126365717,1.64126216308,46987842846.553,80.6,1.79888405960722,131944584.0,3.56289452163453,31693089.0768
BGD,2002,154.589664067029,1.64126216308,47571130071.3913,76.1,1.74440783613894,134266428.0,3.47783960129464,32814715.0032
BGD,2003,158.971027955012,1.64126216308,51913661485.3195,72.0,1.660670463142,136514768.0,3.36456564105904,33937571.3248
BGD,2004,162.580466449063,1.64126216308,56560744012.2303,67.9,1.54002469297002,138633401.0,3.21537301257919,35046523.7728
BGD,2005,169.84421321769,1.64126216308,60277560975.6098,64.2,1.40000262362366,140587922.0,3.04774488587544,36131095.954
BGD,2006,178.339365183579,1.64126216308,61901116736.1525,60.4,1.24803353164368,142353501.0,3.09851038970164,37268146.5618
BGD,2007,184.02470102056,1.64126216308,68415421372.7194,57.1,1.11998815682287,143956805.0,2.93684358370376,38378884.213
BGD,2008,192.06189514175,1.64126216308,79554350677.7438,53.9,1.05136452958274,145478300.0,2.8357984951988,39482810.62
BGR,1991,2560.05444856348,2.41686992785,10943548723.7608,22.3,-0.991362523475423,8632000.0,-0.570562446016234,5755817.6
BGR,1992,2413.88442622951,3.10501814813,10371900499.4574,22.5,-1.07152194791562,8540000.0,-0.652485185672829,5718384.0
BGR,1993,2600.10587818697,3.1059935368,10831999516.8061,22.8,-0.799439899687547,8472000.0,-0.382151714217827,5696572.8
BGR,1994,2520.94119739182,3.11461403707,9704877673.48824,23.0,-0.437689202496385,8435000.0,-0.0221350553886856,5695312.0
BGR,1995,2750.22678571429,4.09661857674,13069087676.7291,22.9,-0.415800988626669,8400000.0,-0.00196654900154648,5695200.0
BGR,1996,2746.93788894208,4.09724369958,8890314314.92352,22.7,-0.525186182352257,8356000.0,-0.201227752224909,5683751.2
BGR,1997,2505.27113108314,4.10523705559,10053468883.3592,22.4,-0.527140865498268,8312068.0,-0.204228538326803,5672155.2032
BGR,1998,2424.27637156352,4.10524314512,13060786260.8922,22.0,-0.664710885191053,8257000.0,-0.342837935276993,5652742.2
BGR,1999,2224.9740497076,4.10627342978,13228374664.8122,21.4,-0.595203663126625,8208000.0,-0.27436340796423,5637254.4
BGR,2000,2314.28846153846,4.50458903139,12903546576.0887,20.7,-1.81957307616099,8060000.0,-1.49975899195388,5553340.0
